gene_id,gene_short_name,cluster,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value
ENSG00000163453,IGFBP7,70,0.05500926473053296,1.9887575300033224,0.8651543793320731,0.06358317780579448,0.2691089914469507,1.21626795875839e-196,3.045930255817605e-190
ENSG00000163453,IGFBP7,75,0.07349240652412424,2.5189999283638107,0.9587727708533078,0.07665258000466157,0.42611136321011317,1.272276634860489e-256,3.186194183596994e-250
ENSG00000083896,YTHDC1,44,0.05341813672282427,2.0290016788104546,0.6871880199667221,0.07773438297921886,0.14482195481278862,2.27933106327101e-112,5.708185765026172e-106
ENSG00000250696,AC111000.4,27,0.030194201090287247,0.44139710630345075,0.14038589487691283,0.2150800200886338,0.04240484669207454,1.1850390916926753e-31,2.967723023303259e-25
ENSG00000213759,UGT2B11,53,0.04574119190295857,0.26411631043822786,0.19852941176470587,0.23040007773342097,0.09153268202579674,1.1496526961294662e-40,2.8791039882344256e-34
ENSG00000132465,JCHAIN,33,0.09792402280433683,4.594100363789761,0.7759433962264151,0.12619995644084747,0.4354573478581943,0,0
ENSG00000132465,JCHAIN,52,0.06363658248336466,3.618039400231054,0.6064516129032258,0.10493266260554812,0.2563579696540177,7.113139840171971e-52,1.781361393023867e-45
ENSG00000132465,JCHAIN,7,0.24921475723315908,31.78594920956628,0.44,0.566397175529907,0.23943608563264737,8.182583661763422e-14,2.0491848828745684e-7
ENSG00000173542,MOB1B,22,0.1478189706496416,2.705258654383789,0.7801998183469573,0.18946296470926127,0.3358870071372417,1.040586883710364e-207,2.605967747547957e-201
ENSG00000173542,MOB1B,32,0.07527849762451205,1.1939541612482756,0.743879472693032,0.10119717022434405,0.3037431576144435,2.7368777501515697e-129,6.85403137164833e-123
ENSG00000169429,CXCL8,32,0.07595338176980394,8.971604851196368,0.7532956685499058,0.10082811429941474,0.21801364532849746,2.9752411123131484e-93,7.450970698593626e-87
ENSG00000169429,CXCL8,33,0.08612321631694875,8.455607481206831,0.8944575471698113,0.09628541520998357,0.36719886314312156,6.575228522557692e-276,1.6466509169754293e-269
ENSG00000169429,CXCL8,34,0.08253360368751618,8.113500923445963,0.8852284803400637,0.09323423897953509,0.34376242856024003,4.933718997746982e-197,1.235563582903271e-190
ENSG00000169429,CXCL8,42,0.05093058092928617,6.001685342890537,0.6920529801324503,0.07359347100786806,0.14070687127839002,1.9010119703952623e-109,4.760751802760115e-103
ENSG00000169429,CXCL8,50,0.13247827121913647,16.47788756211745,0.8230958230958231,0.16095121309310012,0.32179062686494986,6.534375552750884e-209,1.6364200056142856e-202
ENSG00000169429,CXCL8,53,0.037073413270698456,5.330211244919815,0.5533088235294118,0.06700311235634537,0.0778008615076337,8.1087463148284e-35,2.0306936114882634e-28
ENSG00000169429,CXCL8,70,0.0915113938329102,10.499934916220083,0.8034026465028355,0.11390477020613998,0.2777402742734214,6.425071635611459e-203,1.6090467523852667e-196
ENSG00000163737,PF4,14,0.6650252574677845,57.661486911207106,0.825136612021858,0.8059577623616196,0.6478993114469416,1.507104197745243e-221,3.774278720018356e-215
ENSG00000163736,PPBP,14,0.624699598113233,83.81708840925126,0.7868852459016393,0.7938890726022335,0.5953331418097554,1.2272597120706532e-203,3.0734571784313387e-197
ENSG00000163738,MTHFD2L,32,0.07359591648408657,1.1033371579671054,0.7664783427495292,0.09601825958980337,0.25423830934392405,1.7903392821235896e-108,4.483591422704159e-102
ENSG00000163738,MTHFD2L,42,0.05162083329709497,0.7882865428149394,0.6997792494481236,0.07376731067376663,0.16753519993427549,5.125435107008275e-130,1.2835755274358498e-123
ENSG00000124882,EREG,2,2.2895608714785894e-4,0.09133057336332859,0.018538713195201745,0.012350160700858037,0.0033622464899118357,0.0033424897269451566,1
ENSG00000124882,EREG,27,0.04236205690657274,1.978611728826342,0.2874251497005988,0.14738465632078435,0.08793352942789581,8.121884854400068e-64,2.033983928799545e-57
ENSG00000124882,EREG,37,0.08356582418978759,3.6383773280975418,0.35714285714285715,0.23398430773140522,0.15728963650455913,1.5899608403791267e-16,3.9817786815824565e-10
ENSG00000109321,AREG,53,0.03966378235812054,1.2660762828777221,0.3915441176470588,0.10130092771275856,0.1005753941835726,1.6251958321790724e-44,4.0700185524218556e-38
ENSG00000169116,PARM1,7,0.137797499545567,0.09827364710401579,0.2,0.688987497727835,0.07662813824064721,2.4011671451069608e-5,1
ENSG00000118816,CCNI,42,0.04632202234600128,4.644910191347306,0.9906181015452539,0.0467607267359077,0.25317452852170563,8.206028473254105e-196,2.0550562256282088e-189
ENSG00000118816,CCNI,53,0.043818554835029166,4.446739357172354,0.9705882352941176,0.045146389830030054,0.1735682268775525,1.414144162422894e-75,3.541476579559714e-69
ENSG00000138767,CNOT6L,3,0.04318699998131778,1.9372457327849881,0.40852713178294575,0.1057139088726754,0.06551892784002274,6.515047890348296e-45,1.6315797307996496e-38
ENSG00000138767,CNOT6L,49,0.10404632945580461,3.295407899779365,0.6542553191489362,0.15903016209505094,0.24649742338687133,1.375807543988283e-56,3.4454692275984565e-50
ENSG00000138756,BMP2K,43,0.07926975611447468,0.7739424915766433,0.6185567010309279,0.1281527723850674,0.2675342564002743,1.6649756228876144e-80,4.169640076788025e-74
ENSG00000152785,BMP3,53,0.09821092491532513,0.319010639722422,0.1801470588235294,0.5451708485095599,0.09218634423742068,6.056947439283817e-41,1.5168564895884446e-34
