gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000111644,ACRBP,7,0.4087049127113433,4.3611594253497525,0.4562841530054645,0.8957245392356386,0.29266712586583965,8.657583836494286e-94,3.1799392007281877e-88,MK/Plt
ENSG00000165682,CLEC1B,7,0.4589918709635017,5.681119108226368,0.48360655737704916,0.9491018348736815,0.32793778153692865,6.82159528290778e-105,2.5055787690073104e-99,MK/Plt
ENSG00000127314,RAP1B,7,0.4695369436721666,25.41471388443341,0.8032786885245902,0.5845255829388196,0.30042631444200935,3.1269015050389673e-96,1.1485140497023178e-90,MK/Plt
ENSG00000136156,ITM2B,7,0.2965815030287999,15.072568913407931,0.7568306010928961,0.3918730328828186,0.12417336844694897,8.874901208086467e-41,3.2597600886313674e-35,MK/Plt
ENSG00000166091,CMTM5,7,0.5218329128675014,5.028101662550989,0.5437158469945356,0.9597529955251534,0.38276535015911956,3.665030072459209e-122,1.34616921064434e-116,MK/Plt
ENSG00000072110,ACTN1,7,0.31963899927678874,3.785324727744065,0.5027322404371585,0.6358036616049167,0.22688958213940089,4.310234521044429e-73,1.58315344981414e-67,MK/Plt
ENSG00000185245,GP1BA,7,0.2989085399559709,1.6988470675223777,0.33879781420765026,0.8822623034184303,0.21973185698550665,7.693392344810376e-71,2.825790701641196e-65,MK/Plt
ENSG00000005961,ITGA2B,7,0.3283554256802723,3.140978266284623,0.47540983606557374,0.6906786540171246,0.28007272034766706,7.965103471409736e-90,2.9255904701522676e-84,MK/Plt
ENSG00000108960,MMD,7,0.36612299477095456,5.55796611151054,0.4781420765027322,0.7657200919209679,0.2548131011059544,7.073545775406412e-82,2.5981204368525506e-76,MK/Plt
ENSG00000101608,MYL12A,7,0.41304958635118455,15.426109255717826,0.8524590163934426,0.4845389378350434,0.3197266111346607,2.625656794054284e-102,9.644063661129325e-97,MK/Plt
ENSG00000041353,RAB27B,7,0.3273109700248184,3.45258837792562,0.4344262295081967,0.7534327989250538,0.2137309001651657,5.940101832458775e-69,2.1818053431639405e-63,MK/Plt
ENSG00000101162,TUBB1,7,0.5157926819041139,11.131023281847494,0.5519125683060109,0.9345550573114143,0.3803921698950917,2.05046868697993e-121,7.531391991964152e-116,MK/Plt
ENSG00000104904,OAZ1,7,0.34227950512318406,23.272183929514718,0.8415300546448088,0.40673473660742,0.17783806678671873,1.1584380509698115e-57,4.2549545455926274e-52,MK/Plt
ENSG00000184113,CLDN5,7,0.337635900717379,5.00578091678236,0.3524590163934426,0.957943718314424,0.22695353034702268,4.115136569032391e-73,1.5114937769421662e-67,MK/Plt
ENSG00000100351,GRAP2,7,0.3454404136765445,3.566276941311694,0.4672131147540984,0.7393636924304987,0.2628665568796606,2.068464877396988e-84,7.597492179327911e-79,MK/Plt
ENSG00000100387,RBX1,7,0.2816420490871373,5.739428601490982,0.6338797814207651,0.4443146119219493,0.14744888892617708,4.2045851451740214e-48,1.544348328407563e-42,MK/Plt
ENSG00000156265,MAP3K7CL,7,0.4252480924642589,6.8968371577127705,0.4781420765027322,0.8893760105252501,0.3076859841129088,1.6213351711963786e-98,5.95518029715601e-93,MK/Plt
ENSG00000198763,MT-ND2,7,0.315853920329673,161.43943739144666,0.9863387978142076,0.3202286283674801,0.13426022454096698,5.937415007794152e-44,2.1808184697777997e-38,MK/Plt
ENSG00000074800,ENO1,8,0.2781626850312595,6.197392492329642,0.9685660873779686,0.28719019657634437,0.3574096476642203,0,0,Blast 1
ENSG00000117632,STMN1,8,0.2721612732734334,2.6270593986484023,0.8415149207228415,0.32341823843082107,0.27985816939658725,0,0,Blast 1
ENSG00000198520,ARMH1,8,0.2272806851865407,1.7814792368406198,0.8476078377068476,0.26814368045656,0.25584938079333114,0,0,Blast 1
ENSG00000174059,CD34,8,0.2209002524754135,0.5851217173271376,0.5092432320155093,0.4337814203266346,0.1209708674554162,1.8021977578208986e-161,6.619490386453739e-156,Blast 1
ENSG00000168906,MAT2A,8,0.22738268414138132,0.7446152630682071,0.656996468877657,0.3460942256353642,0.15652657858934368,1.3112993064339553e-208,4.816415465524982e-203,Blast 1
ENSG00000118640,VAMP8,8,0.2964610841245898,3.2882887242573298,0.9551339749359551,0.31038691105556004,0.36593303944698563,0,0,Blast 1
ENSG00000144381,HSPD1,8,0.2877928732371989,2.3464615100025528,0.8627708924738627,0.3335681300188479,0.2695886739787388,0,0,Blast 1
ENSG00000206560,ANKRD28,8,0.2741257740589305,2.96860879314601,0.9428789032749428,0.29073274744699173,0.3704815289623725,0,0,Blast 1
ENSG00000163931,TKT,8,0.22179294759227577,2.153573503752143,0.904936647510905,0.24509223734317054,0.23582909640785193,3.4964073786e-314,1.284233926550922e-308,Blast 1
ENSG00000004468,CD38,8,0.2521498792479304,0.7030505239093219,0.642041127189642,0.3927316624585203,0.18708023845515423,3.277402297654192e-249,1.2037931413306822e-243,Blast 1
ENSG00000163453,IGFBP7,8,0.3146765731277304,1.8663251435126325,0.853977705462854,0.3684833586576788,0.32369578962457424,0,0,Blast 1
ENSG00000145287,PLAC8,8,0.26709665228956664,1.8110031720731405,0.8793187011008793,0.3037540904738749,0.25747800941262955,0,0,Blast 1
ENSG00000184584,TMEM173,8,0.25214929531152047,0.9089981025205045,0.7373814304507373,0.3419523260266939,0.19594175338743383,5.2796116187196065e-261,1.9392066271673302e-255,Blast 1
ENSG00000021355,SERPINB1,8,0.3178949432810088,4.877210952526203,0.9750744305199751,0.3260212075415473,0.4326172883325482,0,0,Blast 1
ENSG00000124766,SOX4,8,0.32203648248214484,3.3490810506201436,0.8984975420618985,0.35841665380978793,0.34726671950294974,0,0,Blast 1
ENSG00000196230,TUBB,8,0.24023189681485377,3.12265479758062,0.8622862286228623,0.2785987863896686,0.21832667909444173,7.906686118682056e-291,2.9041337180780376e-285,Blast 1
